CODE_CBNA	MATURITY	LONGEVITY	HEIGHT	WOODY	LHIST	DISPERSAL	LIGHT	LIGHT_TOLERANCE	NITROGEN	NITROGEN_TOLERANCE	MOISTURE	GRAZ_MOW_TOLERANCE	PALATABILITY
4				Herbaceous	Geophyte_Hemicryptophyte		3	1	4	1	2.5		
6		120	1200	Frutescent	Phanerophyte	4	3	1	3	1	2.5		3
13		150		Frutescent	Phanerophyte		3	1	2	1	2		
15		150		Frutescent	Phanerophyte		3	1	2	1	2		
16		150	700	Frutescent	Phanerophyte	6	3	1	2	1	2		
17		80	975	Frutescent	Phanerophyte	6	3	1	4	2	3.5		
19		500	950	Frutescent	Phanerophyte	5	3	1	2.5	1	2		3
22		150	2500	Frutescent	Phanerophyte	4	2	2	3	1	3		
23		600	2500	Frutescent	Phanerophyte	4	2	2	3	1	3.5		3
24				Frutescent	Phanerophyte		2	2	3	1	3		
26				unknown	Phanerophyte		4	1	3	1	3		
28	0		9	Herbaceous	Geophyte_Hemicryptophyte	6	2	2	3	1	3.5	1	
60				Herbaceous	Therophyte		4	1	4	1	3		
66			35	Herbaceous	Therophyte	7	5	1	3	1	2.5		
70				Herbaceous	Therophyte		4	1	4	1	2		
71			25	Herbaceous	Therophyte	7	4	1	4	1	2.5		
73				Herbaceous	Therophyte		4	1	4	1	3		
76				Herbaceous	Therophyte		4	1	4	1	2.5		
77				Herbaceous	Therophyte		4	1	4	1	2.5		
80				Herbaceous	Therophyte		4	1	4	1	2.5		
81			60	Herbaceous	Therophyte	7	4	1	4	1	2.5		
83			30	Herbaceous	Therophyte	7	4	1	4	1	2.5		
85				Herbaceous	Therophyte		4	1	4	1	1.5		
87			40	Herbaceous	Therophyte	7	4	1	4	1	2.5		
88			57.5	Herbaceous	Therophyte	7	4	1	4	1	2.5		
91				Herbaceous	Therophyte		4	1	4	1	2.5		
92				Herbaceous	Therophyte		4	1	4	1	2.5		
93				Herbaceous	Therophyte		4	1	4	1	2.5		
98				Herbaceous	Therophyte		4	1	3	1	2		
104			57	Herbaceous	Therophyte	7	4	1	4	2	2.5		
108				Herbaceous	Therophyte		4	1	4	1	2		
109				Herbaceous	Therophyte		4	1	4	1	2		
111				Herbaceous	Therophyte		4	1	4	1	2		
118			190	Frutescent	Chamaephyte_S	6	4	1	2	1	1.5		
120		12		Frutescent	Phanerophyte		4	1	2	1	1		
122		12	165	Frutescent	Phanerophyte	6	4	1	1.5	1	1		
127		100		Frutescent	Phanerophyte		4	1	3	1	2		
139	3		58	Herbaceous	Geophyte_Hemicryptophyte	7	2	2	4	1	3.5	3	4
140	1		51.5	Herbaceous	Therophyte	7	4	1	4	1	3		
144			80	Herbaceous	Geophyte_Hemicryptophyte	7	4	1	4	1	3		
149			55	Herbaceous	Therophyte	2	4	1	3.5	1	2		
154				Herbaceous	Therophyte		4	1	3	1	2		
156				Herbaceous	Geophyte_Hemicryptophyte		3	1	4	1	4.5	2	
161				unknown		3			3				
162			38	Herbaceous	Therophyte	6	3	1	4	1	3		
163			40	Herbaceous	Therophyte	2	3	1	5	1	3		
164				Herbaceous	Therophyte		3	1	5	1	3		
167			69	Herbaceous	Geophyte_Hemicryptophyte	2	2	2	3.5	1	4	3	
168				Herbaceous	Geophyte_Hemicryptophyte		3	2	4	1	3	4	
170			40	Herbaceous	Geophyte_Hemicryptophyte	7	5	1	3.5	1	3	2	
171	2		75	Herbaceous	Geophyte_Hemicryptophyte	7	3	2	4	1	3	4	
178				unknown	Geophyte_Hemicryptophyte		4	1	4	1	4		
182			26.5	Herbaceous	Helophyte_Hydrophyte	1	4	1	1.5	1	5		
184			42.5	Herbaceous	Helophyte_Hydrophyte	1	3	2	4	1	4.5		
188			20	Herbaceous	Helophyte_Hydrophyte	1	3	2	4	1	4.5		
190				unknown		7			3				4
192		2		Herbaceous	Geophyte_Hemicryptophyte		3	2	3	1	3.5	2	
193	6	10	51.5	Herbaceous	Geophyte_Hemicryptophyte		3	2	3	1	3.5	2	
197		7	10	Herbaceous	Geophyte_Hemicryptophyte	6	3	2	2	1	3	1	
199	3	5	8.3	Herbaceous	Geophyte_Hemicryptophyte	1	5	1	1.5	1	2		4
205			44	Herbaceous	Geophyte_Hemicryptophyte	3	4	1	3	1	5		
208		1	40	Herbaceous	Therophyte	7	4	1	4	2	2		
209			40	Herbaceous	Therophyte	2	4	1	3	1	2		
212				Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	2		
215			30	Herbaceous	Geophyte_Hemicryptophyte	7	4	1	3	1	2		
217				Herbaceous	Geophyte_Hemicryptophyte		4	1	3	1	2		
226			60	Herbaceous	Geophyte_Hemicryptophyte	2	3	1	3	1	2.5	2	
229		1	22.75	Herbaceous	Therophyte	1	5	1	1	1	1.5	1	
233			54	Herbaceous	Chamaephyte_H	2	3	2	1.5	1	2.5	2	
234				Herbaceous	Geophyte_Hemicryptophyte		3	2	1	1	1.5	2	
237			50	Herbaceous	Chamaephyte_H		3	2	1	1	2.5	2	
240			110	Frutescent	Chamaephyte_S	2	4	2	2	1	1.5		
241				Herbaceous	Therophyte		4	1	2	1	1	1	
247				Herbaceous	Therophyte		4	1	3	1	1.5		
249			53	Herbaceous	Geophyte_Hemicryptophyte	4	3	2	3	1	2.5		
251		6	30	Herbaceous	Chamaephyte_H	2	5	1	1.5	1	2		
252			70	Herbaceous	Therophyte	2	3	2	2	1	1	1	
254				Herbaceous	Geophyte_Hemicryptophyte		5	1	2	1	2.5	1	
255				Herbaceous	Geophyte_Hemicryptophyte		5	1	2	1	2.5	1	
256			12	Herbaceous	Geophyte_Hemicryptophyte	1	5	1	2	1	2.5	1	
257			30	Herbaceous	Chamaephyte_H	2	5	1	2	1	1.5	1	
258			70	Suffrutescent	Chamaephyte_S	2	4	2	2	1	1.5		
259			35	Herbaceous	Therophyte	7	4	1	3	1	2		
262		10	13.75	Herbaceous	Chamaephyte_H	2	4	1	1.5	1	2	1	
263				Herbaceous	Therophyte		4	1	3	1	1.5		
265			20	Herbaceous	Therophyte	2	4	1	3	1	2.5	1	
268				Herbaceous	Geophyte_Hemicryptophyte		5	1	2	1	1.5		
272		2	23.5	Herbaceous	Geophyte_Hemicryptophyte	7	4	1	3	1	3	3	4
273			30	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	2.5	1	4		
284		1	19	Herbaceous	Therophyte	6	4	1	3	1	1.5		
290		6	48.975	Herbaceous	Geophyte_Hemicryptophyte	4	3	1	4	1	3	2	4
291				Herbaceous	Geophyte_Hemicryptophyte		3	2	5	1	4	2	
293			85	Herbaceous	Geophyte_Hemicryptophyte	2	4	2	4	1	3.5	2	
294	1		58	Herbaceous	Geophyte_Hemicryptophyte	1	3	1	4	1	3.5	4	
301			59	Herbaceous	Geophyte_Hemicryptophyte	2	3	2	4.5	1	3		
302	3	5	32	Herbaceous	Geophyte_Hemicryptophyte	4	4	2	3	1	3	3	4
304				Herbaceous	Geophyte_Hemicryptophyte		3	2	3	1	5	1	
308	1		132.5	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	5	1	3.5	2	
310			28.5	Herbaceous	Geophyte_Hemicryptophyte	2	3	2	2	1	2.5		
315				Herbaceous	Therophyte		4	1	3	1	2.5		
321	1.5	5	51.5	Herbaceous	Geophyte_Hemicryptophyte	7	4	1	2.5	1	2.5	3	4
323				unknown									4
362		2	50	Herbaceous	Geophyte_Hemicryptophyte	4	4	1	4	1	3	1	
365		3	25	Herbaceous	Geophyte_Hemicryptophyte	6	4	1	2	1	1.5	1	
368			30	Herbaceous	Geophyte_Hemicryptophyte	6	4	1	2.5	1	2	1	
372		2	36.5	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	3	1	2.5		
375			180	Herbaceous	Geophyte_Hemicryptophyte	2			3				
384				Herbaceous	Geophyte_Hemicryptophyte		3	1	2	1	1		
388			120	Herbaceous	Geophyte_Hemicryptophyte	2	4	1	3	1	2.5		
390				unknown	Geophyte_Hemicryptophyte		5	1	3	1	1		
391				unknown	Geophyte_Hemicryptophyte		4	1	3	1	2.5		
410	2.5		250	Herbaceous	Geophyte_Hemicryptophyte	3	3	1	4.5	2	3.5	3	
